nombre;hora_consulta
organizacion abu nidal, oan, consejo revolucionario de al fatah, brigadas revolucionarias arabes, septiembre negro, organizacion revolucionaria de los musulmanes socialistas;20210112 23 45 PM
brigada de los martires de al aqsa;20210112 23 45 PM
al aqsa ev;20210112 23 45 PM
babbar jalsa;20210112 23 45 PM
partido comunista de las filipinas, nuevo ejercito del pueblo, nep, new people's army, npa;20210112 23 45 PM
ireccion de la seguridad interior del ministerio de inteligencia y seguridad irani;20210112 23 45 PM
al gama al islamiya, al gama'a al islamiyya, grupo islamico, gi;20210112 23 45 PM
i̇slami buyuk doğu akıncılar cephesi, ibda c, frente de guerreros del gran oriente islamico;20210112 23 45 PM
hamas, hamas izz al din al qassem;20210112 23 45 PM
ala militar de hizbula, ala militar de hezbola, ala militar de hizbulah, ala militar de hizbolah, ala militar de hezbalah, ala militar de hisbolah, ala militar de hizbu'llah, ala militar de hizb allah, consejo de la yihad;20210112 23 45 PM
hizbul muyahidin, hm;20210112 23 45 PM
khalistan zindabad force, kzf, fuerza de jalistan zindabad;20210112 23 45 PM
partido de los trabajadores del kurdistan, pkk, kadek, kongra gel;20210112 23 45 PM
tigres para la liberacion de la patria tamil, ltte;20210112 23 45 PM
ejercito de liberacion nacional;20210112 23 45 PM
palestinian islamic jihad, pij, yihad islamica para la liberacion de palestina;20210112 23 45 PM
frente popular de liberacion de palestina, fplp;20210112 23 45 PM
frente popular de liberacion de palestina, comando general, fplp comando general;20210112 23 45 PM
devrimci halk kurtuluș partisi cephesi, dhkp c, devrimci sol, izquierda revolucionaria, dev sol, ejercito frente partido revolucionario de liberacion popular;20210112 23 45 PM
sendero luminoso, sl;20210112 23 45 PM
teyrbazen azadiya kurdistan, tak, halcones de la libertad del kurdistan;20210112 23 45 PM
